Steps,    Chain,           Chi,             Rama,            Water,          Helix,           AMH-Go,       Frag_Mem,          Membrane,          VTotal,      Ebond,     Epair,     Rg
0, 104.187332039835, 22.5608077259276, -302.699897430286, 0, 0, -579.196817820427, 0, -33.4680431777456, -788.616618662696, 204.796601037868, 241.126953977131, 12.6137294672287
24000, 129.388782870872, 35.2750155270779, -345.147553401367, 0, 0, -466.461385219621, 0, -40.5561271984704, -687.501267421509, 209.667439400347, 14.5552979364703, 9.94476154713795
48000, 146.28341634179, 35.3468982258442, -345.182024213699, 0, 0, -487.521340659604, 0, -37.4883185546709, -688.56136886034, 206.245781983203, 16.3412512524996, 10.4799564141395
72000, 121.421910498719, 37.6911637911976, -351.544373539892, 0, 0, -482.385635094702, 0, -36.0470347226385, -710.863969067316, 208.335979437758, 21.3268541434151, 12.7570630914124
96000, 118.78830769609, 31.1157043155079, -342.291177766404, 0, 0, -481.868032854388, 0, -38.2083002495135, -712.463498858708, 195.815988158644, 13.1420908546692, 10.248300491882
120000, 147.14052649339, 44.7611082117079, -336.337884309457, 0, 0, -471.304509739522, 0, -35.5753600938592, -651.31611943774, 229.636465269374, 22.1385749047065, 9.62148465406853
144000, 157.862658249752, 51.6456617341395, -330.928464685196, 0, 0, -458.226352266098, 0, -34.8957519743094, -614.542248941712, 225.973712039258, 23.6670369578397, 11.023067452537
168000, 149.583578206225, 43.972388530314, -324.450839758687, 0, 0, -471.000339820923, 0, -37.5133885890267, -639.408601432098, 266.516237862402, 18.4634445468747, 9.7885338526261
192000, 151.927458583363, 53.0300458075551, -333.754165341115, 0, 0, -453.981893689425, 0, -35.6939834226733, -618.472538062295, 220.216268907471, 19.5691966885932, 10.2016629977029
216000, 153.378351044113, 45.0024251089145, -334.880837964027, 0, 0, -484.058461434465, 0, -33.8592091749828, -654.417732420447, 227.2065840833, 18.563713194043, 12.031659499016
240000, 144.541362336127, 43.9905597100435, -320.320614753215, 0, 0, -473.415367512148, 0, -35.3768759895059, -640.580936208699, 247.701197399454, 25.0239991276519, 9.84448937963408
264000, 140.00949391208, 43.5657818464225, -333.403583452773, 0, 0, -475.558765422034, 0, -34.5950671714662, -659.982140287771, 223.21282024631, 18.3502954015628, 11.6269538665963
288000, 147.996767273857, 36.608707064738, -334.296225476185, 0, 0, -481.602640554246, 0, -38.6457552029532, -669.939146894789, 241.344442997518, 13.2199078503535, 9.82356778033801
312000, 142.088987767417, 39.5075609239917, -335.652126759437, 0, 0, -480.533508919649, 0, -36.8026968069559, -671.391783794633, 201.417180660283, 16.2799725802567, 10.777471374781
336000, 118.52611722601, 40.9501852130825, -332.821981573532, 0, 0, -499.72457160367, 0, -36.0436237806749, -709.113874518784, 195.859511717263, 13.787845033323, 12.4484647114344
360000, 124.984472116642, 36.1322413420488, -339.749438941169, 0, 0, -481.680167342667, 0, -35.1552083818552, -695.468101207, 199.122217013593, 10.7393287581411, 10.6826772791349
384000, 128.172456994522, 34.0021779111847, -347.844325645792, 0, 0, -488.742705184681, 0, -36.892533979875, -711.304929904641, 191.411931951927, 18.5094235178069, 9.60755799429464
408000, 119.26355406586, 39.6488084363268, -344.992026152288, 0, 0, -477.591064046437, 0, -35.6042184944538, -699.274946190992, 188.276409681209, 17.7891762958215, 11.2159610930265
432000, 130.75305042301, 28.0272208269901, -338.589962680525, 0, 0, -481.977321926564, 0, -39.0772281524703, -700.864241509559, 171.482431961335, 19.2207464623627, 10.0781761227944
456000, 146.078337484791, 51.9695676304548, -334.235592880366, 0, 0, -481.408476228315, 0, -35.8140725173848, -653.41023651082, 214.834307247552, 15.733844431301, 13.0452313462942
480000, 127.768300538128, 44.0496174339852, -336.094579497987, 0, 0, -474.132900187692, 0, -35.598428557607, -674.007990271173, 239.144264035055, 16.2448048318353, 11.8333734784213
504000, 138.306276986801, 42.8423330959755, -328.968163552916, 0, 0, -474.048536342113, 0, -36.7126981640779, -658.58078797633, 242.272974498692, 17.5793683110613, 10.3582695100962
528000, 169.767206922817, 45.1182146923046, -338.654945614597, 0, 0, -476.550010885475, 0, -35.4257134698737, -635.745248354824, 233.173386238217, 14.5963067371727, 8.43196042809607
552000, 134.419517857204, 44.178530301418, -338.893520699719, 0, 0, -488.05430849378, 0, -35.7569462523712, -684.106727287248, 209.068113429957, 9.56408278727313, 11.5830832063488
576000, 131.172801037778, 43.9923381294872, -350.610921030311, 0, 0, -473.983311897334, 0, -36.4653331445508, -685.894426904931, 218.938209292584, 14.7352746822138, 10.4337418754864
600000, 147.650485762693, 32.1161731427977, -341.413431534503, 0, 0, -490.600337944891, 0, -38.3039493209789, -690.551059894882, 203.35645149262, 11.6671458070374, 12.0024779146105
624000, 117.424508778912, 34.121436043979, -346.274333279832, 0, 0, -481.816407555818, 0, -36.6194072684128, -713.164203281172, 176.517304477889, 16.9441406071088, 10.4054847485072
648000, 126.634026188242, 38.004257572292, -348.09727352802, 0, 0, -493.043938575861, 0, -36.4694706110742, -712.972398954421, 191.792510422329, 15.4746649773094, 10.0015739761146
672000, 150.064973178444, 36.7990498316248, -341.047972252932, 0, 0, -499.686354324658, 0, -36.3552188330555, -690.225522400577, 195.137950357282, 19.1418532230427, 10.0342720752713
696000, 120.748626065137, 39.3758215382009, -340.484415782609, 0, 0, -492.563317543191, 0, -39.7387419387847, -712.662027661247, 194.705852811268, 14.3926251854462, 10.1483145139988
720000, 126.904627727611, 39.1876910964697, -345.728937989612, 0, 0, -480.814250943651, 0, -40.2151735125451, -700.666043621727, 177.135076687324, 20.7744397568685, 10.0194598385996
744000, 152.795194370298, 35.2051731149929, -336.626899580598, 0, 0, -467.792085417686, 0, -38.4632238982822, -654.881841411275, 218.811100604403, 15.252862643687, 9.74765142075396
768000, 151.597812513817, 43.0519680416802, -342.895907955189, 0, 0, -490.078735964289, 0, -36.3224555508385, -674.647318914819, 229.360814720471, 16.1471526828403, 10.890708422275
792000, 142.985085403971, 43.9833986684298, -342.156467974318, 0, 0, -480.811005860355, 0, -39.9851542910644, -675.984144053337, 228.185416951859, 20.7726830032023, 9.75811890960072
816000, 149.088291331196, 36.8489551824461, -336.290230851378, 0, 0, -483.703489061131, 0, -35.1975596456916, -669.254033044559, 200.860587896762, 12.2409668707264, 11.1445588085295
840000, 167.181748205886, 41.1724930978612, -336.3836054072, 0, 0, -444.935992573121, 0, -38.0635708181228, -611.028927494697, 251.630060204417, 21.1795745681857, 9.39951532553167
864000, 157.430089052511, 45.3043248437267, -317.124822205008, 0, 0, -458.526087884855, 0, -37.1920998742384, -610.108596067864, 250.242094282079, 21.8523073750509, 10.9256688769649
888000, 137.493341284058, 38.3810926400887, -334.6986678607, 0, 0, -472.05970713777, 0, -36.1336598433777, -667.017600917701, 221.25373244946, 21.1964125541159, 11.0317419467659
912000, 162.782217267452, 48.7948800435139, -336.972122934672, 0, 0, -452.149908695765, 0, -37.8712716626411, -615.416205982112, 248.250461694686, 29.7926121597078, 9.54091243989349
936000, 157.348707716025, 41.2615937690616, -332.788840658353, 0, 0, -438.10033708721, 0, -40.2314024093722, -612.510278669849, 220.483866069033, 18.9591809497462, 9.72687676548462
960000, 174.346432771024, 42.7443936604076, -333.935171863054, 0, 0, -465.329245123561, 0, -37.9222300459322, -620.095820601116, 243.545962860715, 17.7306620239555, 10.1969929792322
984000, 135.578593714022, 40.3982238296381, -320.952914115683, 0, 0, -467.857935969948, 0, -35.9939144842705, -648.827947026241, 229.971202211391, 16.6570962095476, 13.1619955722566
1008000, 147.39488370808, 47.1649509636377, -344.692584980364, 0, 0, -474.152690705764, 0, -38.152279300315, -662.437720314725, 257.68525139122, 16.5448351004791, 10.2988942528778
1032000, 156.064678615919, 45.9286854182959, -336.69053132898, 0, 0, -481.099205415789, 0, -38.050477774081, -653.846850484635, 237.378167828678, 19.7003196101195, 9.48123261751332
