Step   	Chain   	Shake   	Chi     	Rama    	Excluded	DSSP    	P_AP    	Water   	Burial  	Helix   	AMH-Go  	Frag_Mem	Vec_FM  	Membrane	SSB     	Electro.	VTotal
52000 	281.827943	0.000000	43.499387	-108.987948	0.000000	0.000000	0.000000	-19.071294	-53.679137	0.000000	-57.722463	-30556.910434	0.000000	0.000000	0.000000	0.000000	-30471.043946
56000 	266.146322	0.000000	39.576423	-98.475203	0.000000	0.000000	0.000000	-21.795986	-54.760300	0.000000	-55.375045	-30663.396735	0.000000	0.000000	0.000000	0.000000	-30588.080523
56000 	266.146322	0.000000	39.576423	-98.475203	0.000000	0.000000	0.000000	-21.795986	-54.760300	0.000000	-55.375045	-30663.396735	0.000000	0.000000	0.000000	0.000000	-30588.080523
60000 	260.329494	0.000000	62.965006	-110.724251	0.000000	0.000000	0.000000	-19.949004	-55.096142	0.000000	-46.471545	-29688.835019	0.000000	0.000000	0.000000	0.000000	-29597.781460
60000 	260.329494	0.000000	62.965006	-110.724251	0.000000	0.000000	0.000000	-19.949004	-55.096142	0.000000	-46.471545	-29688.835019	0.000000	0.000000	0.000000	0.000000	-29597.781460
64000 	290.197666	0.000000	64.821315	-95.988346	0.000000	0.000000	0.000000	-21.710437	-55.830213	0.000000	-49.351105	-29333.969199	0.000000	0.000000	0.000000	0.000000	-29201.830319
64000 	290.197666	0.000000	64.821315	-95.988346	0.000000	0.000000	0.000000	-21.710437	-55.830213	0.000000	-49.351105	-29333.969199	0.000000	0.000000	0.000000	0.000000	-29201.830319
68000 	292.882411	0.000000	54.949742	-105.452731	0.000000	0.000000	0.000000	-18.478668	-56.378641	0.000000	-65.169110	-31646.463928	0.000000	0.000000	0.000000	0.000000	-31544.110925
68000 	292.882411	0.000000	54.949742	-105.452731	0.000000	0.000000	0.000000	-18.478668	-56.378641	0.000000	-65.169110	-31646.463928	0.000000	0.000000	0.000000	0.000000	-31544.110925
72000 	288.562665	0.000000	54.621566	-106.759058	0.000000	0.000000	0.000000	-18.189246	-56.162370	0.000000	-55.516219	-30175.388655	0.000000	0.000000	0.000000	0.000000	-30068.831318
72000 	288.562665	0.000000	54.621566	-106.759058	0.000000	0.000000	0.000000	-18.189246	-56.162370	0.000000	-55.516219	-30175.388655	0.000000	0.000000	0.000000	0.000000	-30068.831318
76000 	317.658070	0.000000	72.778550	-110.459647	0.000000	0.000000	0.000000	-25.431650	-54.495780	0.000000	-63.374267	-29710.642178	0.000000	0.000000	0.000000	0.000000	-29573.966902
76000 	317.658070	0.000000	72.778550	-110.459647	0.000000	0.000000	0.000000	-25.431650	-54.495780	0.000000	-63.374267	-29710.642178	0.000000	0.000000	0.000000	0.000000	-29573.966902
80000 	306.819565	0.000000	55.689884	-110.999174	0.000000	0.000000	0.000000	-26.095478	-55.410372	0.000000	-58.413056	-30548.304407	0.000000	0.000000	0.000000	0.000000	-30436.713037
80000 	306.819565	0.000000	55.689884	-110.999174	0.000000	0.000000	0.000000	-26.095478	-55.410372	0.000000	-58.413056	-30548.304407	0.000000	0.000000	0.000000	0.000000	-30436.713037
84000 	315.097389	0.000000	50.105681	-112.393582	0.000000	0.000000	0.000000	-24.132374	-54.745354	0.000000	-65.565961	-30851.829159	0.000000	0.000000	0.000000	0.000000	-30743.463360
84000 	315.097389	0.000000	50.105681	-112.393582	0.000000	0.000000	0.000000	-24.132374	-54.745354	0.000000	-65.565961	-30851.829159	0.000000	0.000000	0.000000	0.000000	-30743.463360
88000 	286.245930	0.000000	54.177660	-118.169465	0.000000	0.000000	0.000000	-30.508638	-54.818070	0.000000	-62.756164	-31028.975532	0.000000	0.000000	0.000000	0.000000	-30954.804279
88000 	286.245930	0.000000	54.177660	-118.169465	0.000000	0.000000	0.000000	-30.508638	-54.818070	0.000000	-62.756164	-31028.975532	0.000000	0.000000	0.000000	0.000000	-30954.804279
92000 	215.635739	0.000000	50.591854	-113.816878	0.000000	0.000000	0.000000	-25.533917	-55.241063	0.000000	-62.870369	-31546.836293	0.000000	0.000000	0.000000	0.000000	-31538.070927
92000 	215.635739	0.000000	50.591854	-113.816878	0.000000	0.000000	0.000000	-25.533917	-55.241063	0.000000	-62.870369	-31546.836293	0.000000	0.000000	0.000000	0.000000	-31538.070927
96000 	298.753376	0.000000	48.053903	-119.021782	0.000000	0.000000	0.000000	-28.342381	-55.804505	0.000000	-60.560330	-30481.960564	0.000000	0.000000	0.000000	0.000000	-30398.882283
96000 	298.753376	0.000000	48.053903	-119.021782	0.000000	0.000000	0.000000	-28.342381	-55.804505	0.000000	-60.560330	-30481.960564	0.000000	0.000000	0.000000	0.000000	-30398.882283
100000 	276.349662	0.000000	57.046893	-108.636194	0.000000	0.000000	0.000000	-20.902944	-55.568474	0.000000	-59.857723	-30511.435697	0.000000	0.000000	0.000000	0.000000	-30423.004475
100000 	276.349662	0.000000	57.046893	-108.636194	0.000000	0.000000	0.000000	-20.902944	-55.568474	0.000000	-59.857723	-30511.435697	0.000000	0.000000	0.000000	0.000000	-30423.004475
104000 	309.800642	0.000000	58.933266	-114.978815	0.000000	0.000000	0.000000	-19.231754	-54.814159	0.000000	-61.033237	-31717.287385	0.000000	0.000000	0.000000	0.000000	-31598.611441
104000 	309.800642	0.000000	58.933266	-114.978815	0.000000	0.000000	0.000000	-19.231754	-54.814159	0.000000	-61.033237	-31717.287385	0.000000	0.000000	0.000000	0.000000	-31598.611441
108000 	326.522343	0.000000	45.232683	-108.565491	0.000000	0.000000	0.000000	-18.416744	-54.148021	0.000000	-64.249620	-30943.670170	0.000000	0.000000	0.000000	0.000000	-30817.295021
108000 	326.522343	0.000000	45.232683	-108.565491	0.000000	0.000000	0.000000	-18.416744	-54.148021	0.000000	-64.249620	-30943.670170	0.000000	0.000000	0.000000	0.000000	-30817.295021
112000 	288.352368	0.000000	53.499326	-114.632545	0.000000	0.000000	0.000000	-17.107763	-56.564752	0.000000	-60.629357	-31651.986177	0.000000	0.000000	0.000000	0.000000	-31559.068899
112000 	288.352368	0.000000	53.499326	-114.632545	0.000000	0.000000	0.000000	-17.107763	-56.564752	0.000000	-60.629357	-31651.986177	0.000000	0.000000	0.000000	0.000000	-31559.068899
116000 	284.884384	0.000000	51.491987	-117.378236	0.000000	0.000000	0.000000	-21.678400	-54.972933	0.000000	-60.822679	-30544.564741	0.000000	0.000000	0.000000	0.000000	-30463.040618
116000 	284.884384	0.000000	51.491987	-117.378236	0.000000	0.000000	0.000000	-21.678400	-54.972933	0.000000	-60.822679	-30544.564741	0.000000	0.000000	0.000000	0.000000	-30463.040618
120000 	270.352717	0.000000	55.336755	-101.089023	0.000000	0.000000	0.000000	-18.397877	-56.772477	0.000000	-64.751162	-31369.759472	0.000000	0.000000	0.000000	0.000000	-31285.080540
120000 	270.352717	0.000000	55.336755	-101.089023	0.000000	0.000000	0.000000	-18.397877	-56.772477	0.000000	-64.751162	-31369.759472	0.000000	0.000000	0.000000	0.000000	-31285.080540
124000 	292.899268	0.000000	51.068905	-118.380698	0.000000	0.000000	0.000000	-31.880881	-55.582126	0.000000	-71.183641	-30945.126993	0.000000	0.000000	0.000000	0.000000	-30878.186164
124000 	292.899268	0.000000	51.068905	-118.380698	0.000000	0.000000	0.000000	-31.880881	-55.582126	0.000000	-71.183641	-30945.126993	0.000000	0.000000	0.000000	0.000000	-30878.186164
128000 	320.781166	0.000000	55.089311	-111.874767	0.000000	0.000000	0.000000	-26.241461	-55.752768	0.000000	-77.467441	-32325.748421	0.000000	0.000000	0.000000	0.000000	-32221.214380
128000 	320.781166	0.000000	55.089311	-111.874767	0.000000	0.000000	0.000000	-26.241461	-55.752768	0.000000	-77.467441	-32325.748421	0.000000	0.000000	0.000000	0.000000	-32221.214380
132000 	298.289496	0.000000	53.762643	-106.542540	0.000000	0.000000	0.000000	-23.423983	-55.280147	0.000000	-78.045231	-31069.366428	0.000000	0.000000	0.000000	0.000000	-30980.606190
132000 	298.289496	0.000000	53.762643	-106.542540	0.000000	0.000000	0.000000	-23.423983	-55.280147	0.000000	-78.045231	-31069.366428	0.000000	0.000000	0.000000	0.000000	-30980.606190
136000 	365.042839	0.000000	59.804317	-113.412918	0.000000	0.000000	0.000000	-20.802731	-53.953493	0.000000	-77.334561	-31436.425985	0.000000	0.000000	0.000000	0.000000	-31277.082533
136000 	365.042839	0.000000	59.804317	-113.412918	0.000000	0.000000	0.000000	-20.802731	-53.953493	0.000000	-77.334561	-31436.425985	0.000000	0.000000	0.000000	0.000000	-31277.082533
