Steps    Q        Rg       Non-additive Go term Backbone Rama     Contact  Fragment Membrane ER       TBM_Q    Beta     Pap      Helical  Total   
0        1.00     10.06    -81.98   80.42    -357.54  -74.08   -294.05  0.00     0.00     0.00     -23.45   0.00     0.00     -750.68 
1        0.98     10.06    -79.12   4.92     -444.35  -86.84   -287.94  0.00     0.00     0.00     -24.67   -0.00    0.00     -918.00 
2        0.95     10.08    -63.17   210.69   -423.94  -86.83   -272.29  0.00     0.00     0.00     -20.24   -0.00    0.00     -655.78 
3        0.91     10.06    -66.48   205.67   -430.82  -86.31   -263.94  0.00     0.00     0.00     -18.21   -0.00    0.00     -660.10 
4        0.88     10.02    -67.43   180.00   -415.37  -89.52   -261.71  0.00     0.00     0.00     -16.16   -0.00    0.00     -670.19 
5        0.86     9.93     -74.63   213.70   -413.16  -85.23   -258.99  0.00     0.00     0.00     -17.68   -0.00    0.00     -635.99 
6        0.83     9.87     -71.94   241.58   -410.51  -86.64   -254.43  0.00     0.00     0.00     -16.98   0.00     0.00     -598.90 
7        0.82     9.84     -76.19   225.56   -401.84  -89.56   -255.72  0.00     0.00     0.00     -16.37   0.00     0.00     -614.11 
8        0.82     9.81     -69.88   258.07   -412.55  -88.63   -262.83  0.00     0.00     0.00     -18.82   -0.00    0.00     -594.65 
9        0.80     9.82     -73.30   250.72   -413.16  -89.53   -265.59  0.00     0.00     0.00     -18.58   0.00     0.00     -609.43 
10       0.80     9.79     -64.76   282.83   -417.46  -84.39   -264.91  0.00     0.00     0.00     -19.00   -0.00    0.00     -567.69 
11       0.80     9.80     -52.91   252.77   -400.82  -89.37   -259.53  0.00     0.00     0.00     -19.61   0.00     0.00     -569.47 
12       0.80     9.83     -69.19   268.83   -409.28  -85.55   -260.43  0.00     0.00     0.00     -19.55   0.00     0.00     -575.18 
13       0.80     9.88     -76.62   244.57   -409.54  -83.77   -262.44  0.00     0.00     0.00     -19.24   0.00     0.00     -607.05 
14       0.79     9.93     -63.01   289.63   -405.83  -82.40   -259.09  0.00     0.00     0.00     -19.59   0.00     0.00     -540.29 
15       0.77     9.92     -52.28   299.99   -387.70  -83.17   -254.28  0.00     0.00     0.00     -19.01   0.00     0.00     -496.47 
16       0.77     9.91     -51.63   309.46   -413.89  -81.10   -252.46  0.00     0.00     0.00     -18.99   0.00     0.00     -508.61 
17       0.76     9.88     -73.21   259.07   -403.19  -82.98   -251.92  0.00     0.00     0.00     -18.16   0.00     0.00     -570.39 
18       0.75     9.87     -65.74   303.00   -409.43  -86.87   -247.49  0.00     0.00     0.00     -17.53   0.00     0.00     -524.05 
19       0.75     9.88     -36.33   281.19   -412.73  -83.03   -242.18  0.00     0.00     0.00     -18.39   0.00     0.00     -511.47 
20       0.75     9.91     -38.85   330.27   -418.74  -84.76   -236.19  0.00     0.00     0.00     -17.69   0.00     0.00     -465.96 
